"","station","long","lat","ExCode","address","market store","adj_subway","school","cafe","academy","cultural facility","attraction","bank","hospital","bus_station"
"98","성신여대입구","127.016403","37.592624","418","서울특별시 성북구 동소문로 지하 102",2,2,1,195,127,14,1,31,90,31
"99","한성대입구","127.006221","37.588458","419","서울특별시 성북구 삼선교로 지하 1",1,1,5,82,72,23,3,19,42,29
"100","혜화","127.001844","37.582336","420","서울특별시 종로구 대학로 지하 120",1,1,6,276,39,223,7,34,28,22
"101","명동","126.986325","37.560989","424","서울특별시 중구 퇴계로 지하 126",1,1,4,256,20,27,6,64,92,12
"102","회현","126.978246","37.558514","425","서울특별시 중구 퇴계로 지하 54",0,1,2,159,5,12,4,92,61,33
"103","숙대입구","126.972106","37.54456","427","서울특별시 용산구 한강대로 지하 306",0,2,5,133,30,7,1,25,36,26
"104","삼각지","126.97311","37.534777","428","서울특별시 용산구 한강대로 지하 180",0,2,1,53,10,13,3,11,6,14
"105","신용산","126.967894","37.52917","429","서울특별시 용산구 한강대로 지하 112",1,3,0,94,7,8,2,38,28,15
"106","이촌","126.974345","37.522272","430","서울특별시 용산구 서빙고로 지하 83",1,2,2,32,22,4,1,16,39,14
"107","동작","126.979306","37.502971","431","서울특별시 동작구 현충로 257",0,2,0,0,0,2,0,0,0,6
"108","총신대입구","126.981989","37.486263","432","서울특별시 동작구 동작대로 지하 117",3,2,4,119,104,5,1,30,141,27
"109","남태령","126.989134","37.463873","434","서울특별시 서초구 과천대로 지하 816",0,1,0,2,0,0,0,1,0,2
"110","방화","126.812741","37.577446","510","서울특별시 강서구 금낭화로 지하 132",1,1,4,27,27,1,0,11,34,22
"111","개화산","126.806171","37.572399","511","서울특별시 강서구 양천로 22",1,1,5,19,32,1,0,11,16,10
"112","김포공항","126.801058","37.562434","512","서울특별시 강서구 하늘길 지하 77",1,3,0,37,0,1,1,25,3,10
"113","송정","126.811973","37.561184","513","서울특별시 강서구 공항대로 지하 33",0,2,2,34,26,0,1,18,32,19
"114","마곡","126.825448","37.560183","514","서울특별시 강서구 공항대로 지하 163",0,1,3,27,8,0,0,5,3,15
"115","발산","126.837668","37.558598","515","서울특별시 강서구 공항대로 지하 267",5,1,2,92,59,2,0,18,62,23
"116","우장산","126.836318","37.548768","516","서울특별시 강서구 강서로 지하 262",1,1,4,57,139,0,1,19,64,20
"117","화곡","126.840461","37.541513","517","서울특별시 강서구 화곡로 지하 168",1,1,2,65,59,3,0,18,75,22
"118","까치산","126.846683","37.531768","518","서울특별시 강서구 강서로 지하 54",0,2,0,43,54,0,0,16,61,18
"119","신정","126.856191","37.524997","519","서울특별시 양천구 오목로 지하 179",1,1,2,42,81,1,0,17,38,13
"120","목동","126.864931","37.526065","520","서울특별시 양천구 오목로 지하 245",2,1,4,77,180,0,1,33,67,21
"121","오목교","126.875181","37.524496","521","서울특별시 양천구 오목로 지하 342",2,1,3,91,141,8,0,32,80,21
"122","양평","126.885778","37.525648","522","서울특별시 영등포구 양산로 지하 21",0,1,2,34,16,1,0,10,11,17
"123","영등포시장","126.905139","37.522669","524","서울특별시 영등포구 양산로 지하 200",0,1,1,72,53,4,0,31,71,23
"124","여의도","126.924191","37.521624","526","서울특별시 영등포구 여의나루로 지하 40",1,2,2,153,24,3,0,91,64,17
"125","여의나루","126.932901","37.527098","527","서울특별시 영등포구 여의동로 지하 343",1,1,3,13,3,1,1,12,2,7
"126","마포","126.945932","37.539574","528","서울특별시 마포구 마포대로 지하 33",2,1,2,113,87,2,6,31,82,27
"127","공덕","126.951592","37.544018","529","서울특별시 마포구 마포대로 지하 100",1,4,1,135,52,4,5,45,101,36
"128","애오개","126.95682","37.553736","530","서울특별시 마포구 마포대로 지하 210",1,2,5,46,44,1,1,24,54,21
"129","서대문","126.966641","37.565773","532","서울특별시 종로구 통일로 지하 126",1,1,10,103,40,26,1,34,41,43
"130","광화문","126.976669","37.571026","533","서울특별시 종로구 세종대로 지하 172",1,1,1,258,26,49,4,121,96,26
"131","청구","127.013828","37.560245","537","서울특별시 중구 청구로 지하 77",1,2,3,50,51,1,1,15,28,9
